P	Target
YAR018C	YIL153W
YAR019C	YCL035C
YAR019C	YDR382W
YAR019C	YER087W
YAR019C	YJR047C
YAR019C	YLR258W
YAR019C	YMR139W
YAR019C	YPL201C
YBL016W	YBR019C
YBL016W	YDR480W
YBL016W	YGR200C
YBL016W	YKL211C
YBL016W	YKR080W
YBL016W	YLR236C
YBL016W	YMR120C
YBR028C	YBR031W
YBR028C	YEL029C
YBR028C	YJR082C
YBR028C	YNR046W
YBR059C	YBL055C
YBR059C	YCR052W
YBR059C	YDR188W
YBR059C	YER087W
YBR059C	YGL213C
YBR059C	YGR256W
YBR059C	YGR287C
YBR059C	YHR063C
YBR059C	YHR207C
YBR059C	YHR214CC
YBR059C	YIL160C
YBR059C	YJL080C
YBR059C	YJR111C
YBR059C	YKR079C
YBR059C	YLR258W
YBR059C	YLR392C
YBR059C	YML048W
YBR059C	YMR004W
YBR059C	YMR139W
YBR059C	YMR196W
YBR059C	YNL104C
YBR059C	YNL272C
YBR059C	YOL066C
YBR059C	YOR027W
YBR160W	YBR031W
YBR160W	YCR016W
YBR160W	YJR082C
YBR160W	YKL023W
YBR160W	YKL211C
YBR160W	YKR080W
YBR274W	YBR019C
YBR274W	YBR177C
YBR274W	YBR252W
YBR274W	YDL236W
YBR274W	YDR516C
YBR274W	YGR200C
YBR274W	YHR174W
YBR274W	YJR082C
YBR274W	YKL181W
YBR274W	YKL210W
YBR274W	YKL211C
YBR274W	YKR047W
YBR274W	YMR146C
YBR274W	YNR046W
YBR274W	YPL171C
YBR274W	YPR145W
YCL024W	YBL011W
YCL024W	YCL035C
YCL024W	YDR098C
YCL024W	YDR382W
YCL024W	YEL037C
YCL024W	YFL010C
YCL024W	YGR021W
YCL024W	YJR062C
YCL024W	YJR092W
YCL024W	YJR097W
YCL024W	YJR112W
YCL024W	YKL091C
YCL024W	YKL181W
YCL024W	YKR071C
YCL024W	YLR055C
YCL024W	YLR060W
YCL024W	YML062C
YCL024W	YMR140W
YCL024W	YNL027W
YCL024W	YNL113W
YCL024W	YNL206C
YCL024W	YNL272C
YCL024W	YOR141C
YCR008W	YDL006W
YCR008W	YDL177C
YCR008W	YDR364C
YCR008W	YER174C
YCR008W	YGR258C
YCR008W	YHR068W
YCR008W	YIL016W
YCR008W	YJL004C
YCR008W	YJL033W
YCR008W	YJL189W
YCR008W	YJR076C
YCR008W	YLR054C
YCR008W	YMR140W
YCR091W	YDR173C
YCR091W	YEL028W
YCR091W	YGR223C
YCR091W	YMR216C
YDL017W	YJR082C
YDL017W	YKR047W
YDL017W	YMR146C
YDL025C	YBL055C
YDL025C	YDL183C
YDL025C	YDR132C
YDL025C	YDR203W
YDL025C	YEL028W
YDL025C	YGL034C
YDL025C	YGL077C
YDL025C	YGR240C
YDL025C	YJL033W
YDL025C	YJL105W
YDL025C	YJR129C
YDL025C	YML048W
YDL025C	YMR196W
YDL025C	YMR205C
YDL025C	YMR216C
YDL025C	YOR094W
YDL025C	YOR177C
YDL025C	YPL220W
YDL025C	YPR019W
YDL028C	YBL055C
YDL028C	YBL078C
YDL028C	YDL203C
YDL028C	YFR038W
YDL028C	YIL072W
YDL028C	YJL084C
YDL028C	YJR019C
YDL028C	YKL023W
YDL028C	YLR016C
YDL028C	YML045WA
YDL028C	YML087C
YDL028C	YMR114C
YDL028C	YMR139W
YDL028C	YNL007C
YDL028C	YOR056C
YDL028C	YPR115W
YDL079C	YBR019C
YDL079C	YBR252W
YDL079C	YCR016W
YDL079C	YGR200C
YDL079C	YKL210W
YDL108W	YBL011W
YDL108W	YBL039C
YDL108W	YBL058W
YDL108W	YBR088C
YDL108W	YDR087C
YDL108W	YDR188W
YDL108W	YDR382W
YDL108W	YEL037C
YDL108W	YGR021W
YDL108W	YJR092W
YDL108W	YJR097W
YDL108W	YKR071C
YDL108W	YLL008W
YDL108W	YLR060W
YDL108W	YLR287C
YDL108W	YNL113W
YDL108W	YNL206C
YDL108W	YNL272C
YDL108W	YNR007C
YDL108W	YOR141C
YDL159W	YGR240C
YDL159W	YGR287C
YDL159W	YPL201C
YDL159W	YPR082C
YDL214C	YEL037C
YDR122W	YGL019W
YDR122W	YGR001C
YDR122W	YIL165C
YDR122W	YIR004W
YDR122W	YPL133C
YDR247W	YDL177C
YDR247W	YDL203C
YDR247W	YDL220C
YDR247W	YDR257C
YDR247W	YFR010W
YDR247W	YGL208W
YDR247W	YHL024W
YDR247W	YIL156W
YDR247W	YJR025C
YDR247W	YKL193C
YDR247W	YKR049C
YDR247W	YLR003C
YDR247W	YML045WA
YDR247W	YMR216C
YDR247W	YOR094W
YDR247W	YOR177C
YDR247W	YPR082C
YDR247W	YPR115W
YDR283C	YBL055C
YDR283C	YBR154C
YDR283C	YEL053C
YDR283C	YFR010W
YDR283C	YGL043W
YDR283C	YGL190C
YDR283C	YMR216C
YDR283C	YOR056C
YDR283C	YOR309C
YDR283C	YPL133C
YDR283C	YPR115W
YDR466W	YBL058W
YDR466W	YDR161W
YDR466W	YDR188W
YDR466W	YER139C
YDR466W	YFL023W
YDR466W	YGR017W
YDR466W	YGR021W
YDR466W	YGR078C
YDR466W	YGR180C
YDR466W	YHL024W
YDR466W	YJR097W
YDR466W	YJR154W
YDR466W	YKL181W
YDR466W	YLL008W
YDR466W	YLR060W
YDR466W	YML062C
YDR466W	YMR048W
YDR466W	YNL099C
YDR466W	YOL082W
YDR466W	YOR141C
YDR477W	YBR096W
YDR477W	YCR072C
YDR477W	YDR188W
YDR477W	YGL043W
YDR477W	YGL184C
YDR477W	YGR043C
YDR477W	YGR256W
YDR477W	YHL015W
YDR477W	YHL024W
YDR477W	YHR133C
YDR477W	YHR189W
YDR477W	YHR207C
YDR477W	YHR214CC
YDR477W	YIL160C
YDR477W	YJL080C
YDR477W	YJR111C
YDR477W	YKL091C
YDR477W	YLR003C
YDR477W	YLR132C
YDR477W	YML048W
YDR477W	YNL007C
YDR477W	YNL225C
YDR477W	YNL284CA
YDR477W	YNR004W
YDR477W	YOL066C
YDR477W	YOR027W
YDR477W	YOR269W
YDR477W	YPL133C
YDR477W	YPR158CC
YDR507C	YCL035C
YDR507C	YDL153C
YDR507C	YEL012W
YDR507C	YEL053C
YDR507C	YGL187C
YDR507C	YGR017W
YDR507C	YHR088W
YDR507C	YIL010W
YDR507C	YJR047C
YDR507C	YLR003C
YDR507C	YLR208W
YDR507C	YLR258W
YDR507C	YMR110C
YDR507C	YMR153W
YDR507C	YMR235C
YDR507C	YNL027W
YDR507C	YNL272C
YDR507C	YOR141C
YDR507C	YOR260W
YDR507C	YOR288C
YDR507C	YPL133C
YDR507C	YPR083W
YDR523C	YBL036C
YDR523C	YDR188W
YDR523C	YDR364C
YDR523C	YEL039C
YDR523C	YER100W
YDR523C	YGL019W
YDR523C	YGL245W
YDR523C	YKL023W
YDR523C	YKL114C
YDR523C	YKL193C
YDR523C	YLL018C
YDR523C	YMR196W
YDR523C	YMR235C
YDR523C	YNL001W
YDR523C	YNL186W
YDR523C	YOR094W
YDR523C	YOR177C
YDR523C	YPL106C
YDR523C	YPL133C
YDR523C	YPR082C
YER123W	YDR516C
YER123W	YGR264C
YER123W	YKL210W
YER123W	YLL024C
YFL029C	YBR088C
YFL029C	YDL220C
YFL029C	YLL008W
YFR014C	YBR099C
YFR014C	YBR170C
YFR014C	YCR075C
YFR014C	YDL143W
YFR014C	YDR471W
YFR014C	YER139C
YFR014C	YER153C
YFR014C	YER174C
YFR014C	YGL210W
YFR014C	YGR135W
YFR014C	YGR180C
YFR014C	YGR264C
YFR014C	YHR033W
YFR014C	YIL053W
YFR014C	YIL065C
YFR014C	YIL167W
YFR014C	YJL167W
YFR014C	YJL175W
YFR014C	YJL188C
YFR014C	YJR129C
YFR014C	YLR307W
YFR014C	YML001W
YFR014C	YML022W
YFR014C	YML048W
YFR014C	YMR116C
YFR014C	YMR205C
YFR014C	YNL111C
YFR014C	YNR064C
YFR014C	YOR089C
YFR014C	YOR101W
YFR014C	YOR184W
YFR014C	YOR271C
YGL083W	YDR188W
YGL083W	YGR173W
YGL083W	YNL272C
YGL083W	YOR056C
YGL083W	YPL281C
YGL083W	YPR137CB
YGL158W	YCR012W
YGL158W	YDL006W
YGL158W	YDL103C
YGL158W	YDR147W
YGL158W	YHR104W
YGL158W	YJR119C
YGL158W	YML048W
YGL158W	YMR235C
YGL158W	YNL186W
YGL158W	YOL070C
YGL158W	YOR271C
YGL179C	YEL037C
YGL179C	YJR154W
YGL179C	YMR140W
YGR040W	YBL055C
YGR040W	YCL047C
YGR040W	YDL006W
YGR040W	YDL230W
YGR040W	YDR256C
YGR040W	YFL028C
YGR040W	YGR013W
YGR040W	YGR180C
YGR040W	YJR070C
YGR040W	YML048W
YGR040W	YMR041C
YGR040W	YNL117W
YGR040W	YNR033W
YGR040W	YOL070C
YGR040W	YPL233W
YGR040W	YPR035W
YGR052W	YDL065C
YGR052W	YGR180C
YGR052W	YHR200W
YGR052W	YML013W
YGR052W	YNL117W
YGR092W	YBR177C
YGR092W	YEL029C
YGR092W	YGR200C
YGR092W	YKR041W
YGR092W	YKR047W
YGR092W	YKR080W
YGR092W	YNR046W
YHL007C	YGL019W
YHL007C	YLL008W
YHL007C	YPL201C
YHR030C	YFR038W
YHR030C	YGL098W
YHR030C	YJL148W
YHR030C	YPL077C
YHR082C	YFR024C-A
YHR082C	YGR180C
YHR082C	YHR033W
YHR082C	YLR055C
YHR082C	YLR258W
YHR082C	YML062C
YHR082C	YMR205C
YHR082C	YNL272C
YHR082C	YOR141C
YHR205W	YEL012W
YHR205W	YEL028W
YHR205W	YER174C
YHR205W	YFL010C
YHR205W	YFR034C
YHR205W	YGL019W
YHR205W	YHL024W
YHR205W	YHL033C
YHR205W	YIL153W
YHR205W	YJR097W
YHR205W	YMR196W
YHR205W	YMR216C
YHR205W	YOR094W
YJL006C	YBL058W
YJL006C	YDL065C
YJL006C	YDL103C
YJL006C	YDR256C
YJL006C	YER139C
YJL006C	YFL023W
YJL006C	YGR001C
YJL006C	YGR167W
YJL006C	YGR180C
YJL006C	YJL138C
YJL006C	YJR070C
YJL006C	YJR076C
YJL006C	YKL091C
YJL006C	YKR018C
YJL006C	YMR041C
YJL006C	YNR033W
YJL006C	YNR064C
YJL006C	YOR335C
YJL006C	YPL077C
YJL006C	YPR035W
YJL057C	YAL016W
YJL057C	YDL065C
YJL057C	YDL103C
YJL057C	YDR147W
YJL057C	YDR161W
YJL057C	YDR179C
YJL057C	YDR273W
YJL057C	YDR308C
YJL057C	YDR382W
YJL057C	YDR383C
YJL057C	YDR397C
YJL057C	YER139C
YJL057C	YGL172W
YJL057C	YGR043C
YJL057C	YGR167W
YJL057C	YGR180C
YJL057C	YGR234W
YJL057C	YHR055C
YJL057C	YHR214CC
YJL057C	YIL075C
YJL057C	YJL019W
YJL057C	YJR032W
YJL057C	YJR070C
YJL057C	YJR076C
YJL057C	YKL130C
YJL057C	YLR181C
YJL057C	YLR287C
YJL057C	YLR309C
YJL057C	YLR315W
YJL057C	YML045WA
YJL057C	YMR192W
YJL057C	YNL113W
YJL057C	YNL117W
YJL057C	YNL121C
YJL057C	YOR027W
YJL057C	YOR162C
YJL057C	YOR335C
YJL057C	YPL233W
YJL057C	YPR168W
YJL095W	YER120W
YJL095W	YFL023W
YJL095W	YIL104C
YJL095W	YJR097W
YJL128C	YCR016W
YJL128C	YDR510W
YJL141C	YBL055C
YJL141C	YDR364C
YJL141C	YDR381W
YJL141C	YDR523C
YJL141C	YER092W
YJL141C	YER117W
YJL141C	YER127W
YJL141C	YER139C
YJL141C	YER141W
YJL141C	YER151C
YJL141C	YER170W
YJL141C	YJR017C
YJL141C	YKL023W
YJL141C	YKL091C
YJL141C	YLR410W
YJL141C	YML035C
YJL141C	YML078W
YJL141C	YOR056C
YJL141C	YPL133C
YJL164C	YER174C
YJL164C	YML048W
YJL164C	YPL201C
YJL165C	YCR016W
YJL187C	YBR031W
YJL187C	YJR082C
YJL187C	YKL211C
YJL187C	YKR047W
YJL187C	YNR046W
YJR059W	YBR074W
YJR059W	YGR170W
YJR059W	YKR041W
YJR059W	YMR140W
YJR059W	YNL166C
YKL048C	YCR052W
YKL048C	YCR064C
YKL048C	YEL012W
YKL048C	YER139C
YKL048C	YGR021W
YKL048C	YJR097W
YKL048C	YKL181W
YKL048C	YLL008W
YKL048C	YLR060W
YKL048C	YML062C
YKL048C	YMR235C
YKL101W	YBR176W
YKL101W	YDL220C
YKL101W	YDR521W
YKL101W	YGL003C
YKL101W	YGL034C
YKL101W	YGR017W
YKL101W	YGR168C
YKL101W	YGR187C
YKL101W	YGR244C
YKL101W	YIL139C
YKL101W	YJR047C
YKL101W	YOR141C
YKL101W	YPL201C
YKL101W	YPR036W
YKL116C	YBR031W
YKL116C	YCR016W
YKL116C	YGR293C
YKL116C	YPR135W
YKL126W	YCL035C
YKL126W	YDR523C
YKL126W	YKL182W
YKL126W	YPL153C
YKL139W	YDL103C
YKL139W	YDR188W
YKL139W	YER139C
YKL139W	YFL010C
YKL139W	YGR021W
YKL139W	YJR070C
YKL139W	YKR018C
YKL139W	YLR060W
YKL139W	YLR438W
YKL139W	YMR041C
YKL139W	YMR048W
YKL139W	YNL027W
YKL139W	YOL082W
YKL139W	YPL077C
YKL139W	YPL133C
YKL166C	YAR014C
YKL166C	YBR031W
YKL166C	YGR200C
YKL166C	YJL070C
YKL166C	YKL023W
YKL166C	YLR003C
YKL168C	YDL006W
YKL168C	YDL103C
YKL168C	YDR179C
YKL168C	YFL023W
YKL168C	YGR180C
YKL168C	YGR205W
YKL168C	YHR182W
YKL168C	YJL138C
YKL168C	YJL189W
YKL168C	YJR076C
YKL168C	YKL091C
YKL168C	YKL130C
YKL168C	YMR140W
YKL168C	YMR196W
YKL168C	YNR033W
YKL168C	YOR335C
YKL168C	YPR035W
YLR096W	YAR015W
YLR096W	YBR088C
YLR096W	YDR071C
YLR096W	YDR173C
YLR096W	YFR010W
YLR096W	YGL210W
YLR096W	YGR001C
YLR096W	YGR238C
YLR096W	YGR287C
YLR096W	YHR049W
YLR096W	YJR092W
YLR096W	YLR438W
YLR096W	YML048W
YLR096W	YMR120C
YLR096W	YMR196W
YLR096W	YNL027W
YLR096W	YNR064C
YLR096W	YOL082W
YLR096W	YOR184W
YLR096W	YOR224C
YLR248W	YDL203C
YLR248W	YKL114C
YLR248W	YMR068W
YLR248W	YMR178W
YLR362W	YER087W
YLR362W	YER174C
YLR362W	YGR187C
YLR362W	YJL138C
YLR362W	YJR047C
YLR362W	YMR139W
YLR362W	YNL113W
YLR362W	YPL133C
YLR362W	YPL201C
YMR139W	YIL082WA
YMR139W	YKL193C
YMR139W	YMR291W
YMR216C	YFR024C-A
YMR216C	YGR287C
YMR216C	YIL082WA
YMR216C	YJR119C
YMR216C	YMR114C
YMR216C	YMR140W
YMR216C	YNL112W
YMR216C	YOR309C
YMR216C	YPR174C
YMR291W	YDL115C
YMR291W	YEL012W
YMR291W	YER139C
YMR291W	YGL137W
YMR291W	YGL210W
YMR291W	YGR135W
YMR291W	YKL181W
YMR291W	YMR139W
YMR291W	YOR089C
YMR291W	YOR141C
YNL020C	YGR130C
YNL020C	YMR196W
YNL020C	YNL272C
YNL154C	YDL203C
YNL154C	YGL245W
YNL154C	YGR168C
YNL154C	YKL091C
YNL154C	YLR410W
YNL154C	YNL189W
YNL154C	YNL292W
YNL154C	YNR034W
YNL154C	YOR084W
YNL161W	YBL069W
YNL161W	YBR169C
YNL161W	YDR132C
YNL161W	YDR293C
YNL161W	YER036C
YNL161W	YER067W
YNL161W	YFL010C
YNL161W	YGL210W
YNL161W	YIL016W
YNL161W	YKR079C
YNL161W	YOL070C
YNL183C	YDL126C
YNL183C	YDL173W
YNL183C	YEL053C
YNL183C	YER027C
YNL183C	YER087W
YNL183C	YGL023C
YNL183C	YGR167W
YNL183C	YHL034C
YNL183C	YKL181W
YNL183C	YLL018C
YNL183C	YLR257W
YNL183C	YNL148C
YNL183C	YOL066C
YNL183C	YPL077C
YNL183C	YPL239W
YNL183C	YPR135W
YNL298W	YBR031W
YNL298W	YBR252W
YNL298W	YEL029C
YNL298W	YGR200C
YNL298W	YJL070C
YNL298W	YJR082C
YNL298W	YKL023W
YNL307C	YGL019W
YNL307C	YGR001C
YNL307C	YJR076C
YNL307C	YJR129C
YNL307C	YNL104C
YNL307C	YNR033W
YNL307C	YPR089W
YNR031C	YDR256C
YNR031C	YFL023W
YNR031C	YGR167W
YNR031C	YGR287C
YNR031C	YHL033C
YNR031C	YHR182W
YNR031C	YJL019W
YNR031C	YKL052C
YNR031C	YLR287C
YNR031C	YMR140W
YNR031C	YMR196W
YOL016C	YBR071W
YOL016C	YBR087W
YOL016C	YBR099C
YOL016C	YBR129C
YOL016C	YBR220C
YOL016C	YCL061C
YOL016C	YCR075C
YOL016C	YDL143W
YOL016C	YDR335W
YOL016C	YDR344C
YOL016C	YDR416W
YOL016C	YEL028W
YOL016C	YER119C
YOL016C	YER128W
YOL016C	YER142C
YOL016C	YER154W
YOL016C	YER174C
YOL016C	YGR205W
YOL016C	YGR258C
YOL016C	YHR008C
YOL016C	YHR104W
YOL016C	YIL032C
YOL016C	YIL053W
YOL016C	YIL167W
YOL016C	YJL076W
YOL016C	YJL124C
YOL016C	YJL175W
YOL016C	YJL177W
YOL016C	YJL188C
YOL016C	YKL142W
YOL016C	YKL149C
YOL016C	YKL164C
YOL016C	YKL167C
YOL016C	YLR212C
YOL016C	YLR307W
YOL016C	YLR370C
YOL016C	YMR071C
YOL016C	YMR153W
YOL016C	YMR154C
YOL016C	YNL201C
YOL016C	YOR057W
YOL016C	YOR264W
YOL016C	YPL138C
YOL016C	YPL166W
YOL016C	YPR036W
YOL016C	YPR169W
YOL016C	YPR187W
YOL045W	YBR177C
YOL045W	YDL103C
YOL045W	YDR256C
YOL045W	YGR180C
YOL045W	YHR104W
YOL045W	YHR214CC
YOL045W	YJL138C
YOL045W	YJR070C
YOL045W	YKL127W
YOL045W	YMR041C
YOL045W	YMR205C
YOL045W	YNL117W
YOL045W	YNL121C
YOL045W	YNL317W
YOL045W	YNR033W
YOL045W	YNR064C
YOL045W	YOR184W
YOL045W	YOR335C
YOL045W	YPL077C
YOL045W	YPR035W
YOL061W	YBR031W
YOL061W	YBR252W
YOL061W	YEL029C
YOL061W	YGR200C
YOL061W	YJR082C
YOL061W	YKL023W
YOL061W	YKL211C
YOL061W	YKR047W
YOL061W	YMR146C
YOL061W	YNR046W
YOL100W	YBL058W
YOL100W	YCR052W
YOL100W	YDL099W
YOL100W	YDR188W
YOL100W	YDR382W
YOL100W	YER139C
YOL100W	YFL023W
YOL100W	YGR021W
YOL100W	YGR078C
YOL100W	YGR167W
YOL100W	YHL009C
YOL100W	YHL024W
YOL100W	YHR205W
YOL100W	YIL104C
YOL100W	YJL138C
YOL100W	YJR006W
YOL100W	YJR070C
YOL100W	YJR092W
YOL100W	YJR097W
YOL100W	YJR112W
YOL100W	YKL002W
YOL100W	YKL181W
YOL100W	YLL008W
YOL100W	YLR060W
YOL100W	YLR258W
YOL100W	YML001W
YOL100W	YML034W
YOL100W	YMR041C
YOL100W	YMR048W
YOL100W	YNL027W
YOL100W	YOL082W
YOL100W	YOR117W
YOL100W	YOR260W
YOL100W	YPL004C
YOL100W	YPL077C
YOL100W	YPL133C
YOL100W	YPR083W
YOL113W	YBR177C
YOL113W	YBR252W
YOL113W	YEL029C
YOL113W	YGR200C
YOL113W	YJR025C
YOL113W	YJR082C
YOL113W	YKL211C
YOL113W	YKR047W
YOL113W	YNR046W
YOL128C	YBL058W
YOL128C	YER009W
YOL128C	YER087W
YOL128C	YER174C
YOL128C	YJR047C
YOL128C	YJR109C
YOL128C	YKL181W
YOL128C	YLR258W
YOL128C	YMR041C
YOL128C	YMR139W
YOL128C	YNL027W
YOL128C	YPL201C
YOR119C	YBR176W
YOR119C	YDR257C
YOR119C	YFR034C
YOR119C	YGL137W
YOR119C	YIL070C
YOR119C	YKR021W
YOR119C	YMR165C
YOR119C	YMR260C
YOR119C	YOR198C
YOR119C	YPL146C
YOR119C	YPR036W
YOR119C	YPR082C
YOR231W	YDR087C
YOR231W	YDR203W
YOR231W	YDR374C
YOR231W	YER139C
YOR231W	YFL010C
YOR231W	YFL023W
YOR231W	YGR021W
YOR231W	YGR167W
YOR231W	YJR062C
YOR231W	YJR092W
YOR231W	YKL181W
YOR231W	YLL008W
YOR231W	YLR060W
YOR231W	YLR287C
YOR231W	YNL052W
YOR231W	YOL082W
YOR231W	YPL201C
YOR351C	YBL050W
YOR351C	YDL103C
YOR351C	YDR256C
YOR351C	YFL010C
YOR351C	YFL023W
YOR351C	YGL017W
YOR351C	YGR001C
YOR351C	YGR078C
YOR351C	YGR240C
YOR351C	YGR287C
YOR351C	YHL024W
YOR351C	YHR033W
YOR351C	YJL138C
YOR351C	YJR070C
YOR351C	YJR154W
YOR351C	YKL052C
YOR351C	YLR258W
YOR351C	YML048W
YOR351C	YMR041C
YOR351C	YMR140W
YOR351C	YNL104C
YOR351C	YNL117W
YOR351C	YNR033W
YOR351C	YNR064C
YOR351C	YOL082W
YOR351C	YOR335C
YOR351C	YPL077C
YOR351C	YPR035W
YPL026C	YCR016W
YPL026C	YDR516C
YPL026C	YGR200C
YPL026C	YKL023W
YPL026C	YKL210W
YPL026C	YKL211C
YPL026C	YKR080W
YPL026C	YPL171C
YPL042C	YGL019W
YPL042C	YMR196W
YPL141C	YBR053C
YPL141C	YEL012W
YPL141C	YEL037C
YPL141C	YFL010C
YPL141C	YGR017W
YPL141C	YJL138C
YPL141C	YJR047C
YPL141C	YJR062C
YPL141C	YJR097W
YPL141C	YJR154W
YPL141C	YLR258W
YPL141C	YMR139W
YPL141C	YNL027W
YPL141C	YOL082W
YPL141C	YOR260W
YPL141C	YPL201C
YPL150W	YDR256C
YPL150W	YDR516C
YPL150W	YEL029C
YPL150W	YEL047C
YPL150W	YGR223C
YPL150W	YHR183W
YPL150W	YJR096W
YPL150W	YLR285W
YPL150W	YMR303C
YPL150W	YOL066C
YPL150W	YOR238W
YPL203W	YBR207W
YPL203W	YDL065C
YPL203W	YIL016W
YPL203W	YIL033C
YPL203W	YMR140W
YPL203W	YNL198C
YPL203W	YOL147C
YPL204W	YBR019C
YPL204W	YDL110C
YPL204W	YDR309C
YPL204W	YEL029C
YPL204W	YER175C
YPL204W	YGL134W
YPL204W	YGR028W
YPL204W	YGR200C
YPL204W	YGR223C
YPL204W	YHR014W
YPL204W	YHR043C
YPL204W	YHR074W
YPL204W	YJL051W
YPL204W	YJR025C
YPL204W	YJR082C
YPL204W	YJR103W
YPL204W	YJR105W
YPL204W	YJR109C
YPL204W	YKL181W
YPL204W	YKL210W
YPL204W	YKR047W
YPL204W	YKR080W
YPL204W	YLR258W
YPL204W	YLR285W
YPL204W	YLR301W
YPL204W	YMR004W
YPL204W	YMR196W
YPL204W	YMR216C
YPL204W	YNL027W
YPL204W	YNL066W
YPL204W	YNL192W
YPL204W	YOR117W
YPL204W	YOR141C
YPL204W	YOR155C
YPL204W	YOR306C
YPL204W	YPL061W
YPL204W	YPL171C
YPL204W	YPR083W
YPL204W	YPR145W
YPL209C	YBL011W
YPL209C	YBL095W
YPL209C	YCR064C
YPL209C	YDL183C
YPL209C	YDR098C
YPL209C	YDR135C
YPL209C	YGL076C
YPL209C	YGR130C
YPL209C	YGR168C
YPL209C	YIL010W
YPL209C	YKL091C
YPL209C	YLL008W
YPL209C	YLR055C
YPL209C	YLR248W
YPL209C	YMR229C
YPL209C	YMR235C
YPL209C	YMR260C
YPL209C	YNL246W
YPL209C	YOR141C
YPL209C	YOR288C
YPL209C	YPL150W
YPR054W	YGR223C
YPR054W	YJR025C
YPR054W	YKL210W
YPR054W	YKR047W
YPR054W	YNR046W
YPR106W	YDL103C
YPR106W	YFL023W
YPR106W	YGR180C
YPR106W	YGR210C
YPR106W	YHL024W
YPR106W	YJR076C
YPR106W	YJR154W
YPR106W	YKR018C
YPR106W	YKR079C
YPR106W	YLR060W
YPR106W	YML001W
YPR106W	YML048W
YPR106W	YMR139W
YPR106W	YNL027W
YPR106W	YNL064C
YPR106W	YNL104C
YPR106W	YNL121C
YPR106W	YOR027W
YPR106W	YOR335C
YPR106W	YPL077C
YPR111W	YEL029C
YPR111W	YKR047W
