cancel	mean_k	vec	norm	lam	AUC_T_sum	AUC_P_sum	AUC_Tpos_sum	AUC_Tneg_sum	AUC_Ppos_sum	AUC_Pneg_sum	AUC_sum_sum
false	true	true	0	4	24.9	20.749999999999996	24.090909090909093	25	24.000000000000004	19.000000000000004	137.74090909090907
true	true	true	2	4	24.7	20.000000000000004	25	24	19.714285714285715	21.714285714285715	135.1285714285714
false	false	true	2	1	24.85	19.749999999999993	25	23.909090909090907	20.42857142857143	20.857142857142858	134.79480519480518
false	true	true	0	0	24.749999999999996	19.583333333333336	24.90909090909091	24.909090909090907	19.285714285714285	21.142857142857142	134.58008658008657
true	true	false	0	1	24.199999999999996	19.25	24.636363636363637	24.272727272727273	20.428571428571427	20.571428571428573	133.35909090909092
false	false	false	0	1	24.599999999999998	20.083333333333336	23.272727272727273	24.727272727272727	20.142857142857146	20.285714285714285	133.11190476190478
false	false	true	0	0	24.9	19.916666666666668	25	24	20.142857142857142	19.142857142857142	133.10238095238097
true	true	false	1	4	24.549999999999997	19.75	23.909090909090914	24.818181818181817	19.57142857142857	20.142857142857146	132.74155844155845
true	true	true	2	1	24.549999999999997	19.66666666666667	22.90909090909091	24.72727272727273	20.428571428571434	20.428571428571427	132.71017316017318
false	true	false	2	1	24.3	19.25	23.27272727272727	23.90909090909091	22.57142857142857	19.285714285714285	132.58896103896103
true	false	false	0	4	24.599999999999998	18.833333333333336	24.272727272727273	24.818181818181817	20.857142857142858	18.999999999999996	132.38138528138526
false	true	true	2	1	24.349999999999994	19.749999999999996	24	23.636363636363633	19.428571428571427	21.142857142857146	132.3077922077922
false	true	true	1	4	24.6	19.166666666666668	24.09090909090909	24.636363636363637	20	19.42857142857143	131.92251082251084
true	false	true	2	0	24.55	19.333333333333332	23.90909090909091	24.818181818181817	19.142857142857142	19.857142857142858	131.61060606060607
false	false	false	2	3	24.4	18.916666666666664	25	24.27272727272727	21.000000000000004	18	131.58939393939394
false	true	false	2	4	24.599999999999998	19.333333333333332	25	24.636363636363637	19.142857142857142	18.714285714285715	131.42683982683982
true	true	false	2	4	24.65	18.083333333333336	24	24.727272727272727	20.857142857142858	18.857142857142858	131.17489177489176
false	true	true	2	4	24.15	19.750000000000004	24.090909090909093	24.363636363636363	19.28571428571429	19.42857142857143	131.06883116883117
true	false	false	2	3	24.75	19.33333333333334	24.909090909090907	23.90909090909091	18.42857142857143	19.71428571428571	131.04437229437232
true	false	true	0	1	24.75	19.749999999999996	22.90909090909091	24.90909090909091	18.857142857142858	19.714285714285715	130.8896103896104
true	false	false	0	1	24.349999999999998	20.583333333333336	24.81818181818182	24.272727272727273	18.142857142857142	18.71428571428571	130.8813852813853
true	true	false	1	3	24.45	18.916666666666664	25	24.454545454545453	18.71428571428571	18.999999999999996	130.53549783549784
false	false	false	1	1	24.199999999999996	19.833333333333336	24.636363636363637	23.90909090909091	19.57142857142857	18.28571428571429	130.43593073593075
false	false	true	1	4	23.999999999999996	19.666666666666664	23.909090909090907	24.636363636363637	18.571428571428573	19.571428571428573	130.35497835497836
true	false	true	1	3	24.299999999999997	19.833333333333332	25	24.18181818181818	18.428571428571427	18.57142857142857	130.3151515151515
false	false	true	0	4	24.65	20.250000000000004	22.18181818181818	24.727272727272727	20.142857142857146	18.285714285714285	130.23766233766236
true	true	true	0	4	24.299999999999997	17.916666666666668	24.90909090909091	23.818181818181817	20.142857142857146	19.142857142857146	130.2296536796537
false	false	true	0	3	24.200000000000003	17.416666666666664	25	24.272727272727273	20	19.14285714285714	130.03225108225107
false	false	true	2	3	24.799999999999997	19.583333333333332	25	24.909090909090907	16.285714285714285	19.42857142857143	130.00670995670993
true	true	false	1	1	24.449999999999996	18.333333333333332	24.727272727272727	23.90909090909091	18	20.42857142857143	129.84826839826843
true	false	false	1	0	24.5	18.75	23.81818181818182	24.90909090909091	19.428571428571434	18.142857142857146	129.5487012987013
true	true	false	0	3	24.249999999999996	18.833333333333336	23.909090909090907	24.09090909090909	20.714285714285715	17.714285714285715	129.51190476190476
true	false	true	1	0	24.149999999999995	19.666666666666668	23.72727272727273	24.636363636363637	17.142857142857142	20.142857142857142	129.46601731601731
true	true	true	0	1	24.45	18.583333333333336	24.81818181818182	23.727272727272727	19	18.857142857142858	129.43593073593073
true	true	true	2	3	24.449999999999996	18.166666666666664	24.90909090909091	24.636363636363637	16.714285714285715	20.428571428571427	129.30497835497837
false	false	true	2	4	24.8	19.583333333333332	25	23.90909090909091	17.428571428571427	18.428571428571427	129.1495670995671
true	false	false	1	3	24.149999999999995	19.250000000000004	25	23.363636363636367	18.71428571428571	18.571428571428573	129.04935064935066
false	false	true	0	1	24.75	19.583333333333336	23.363636363636363	25	16.42857142857143	19.857142857142858	128.982683982684
false	false	true	1	1	24.45	18.583333333333336	23.81818181818182	24.636363636363637	19.28571428571429	18.14285714285714	128.91645021645022
true	false	false	2	1	24.05	18.166666666666668	24.09090909090909	24.454545454545453	18.28571428571429	19.857142857142858	128.90497835497834
true	true	true	0	3	24.000000000000004	18.249999999999996	25	23.36363636363636	17.571428571428573	20.714285714285715	128.89935064935065
true	false	true	2	1	24.049999999999997	19.833333333333336	24	23.09090909090909	18.428571428571427	19.42857142857143	128.83138528138525
true	false	false	1	4	24.099999999999998	19.583333333333332	23.09090909090909	23.72727272727273	19.42857142857143	18.85714285714286	128.78722943722943
false	true	false	0	1	24.249999999999996	19.083333333333332	24.81818181818182	24.545454545454547	17.857142857142858	18.142857142857142	128.69696969696972
true	false	true	0	0	24.249999999999996	18.833333333333332	24.727272727272727	24.636363636363633	15.571428571428571	20.571428571428573	128.58982683982686
false	false	true	1	0	24.599999999999998	18.416666666666664	24.81818181818182	23.636363636363633	18.142857142857142	18.85714285714286	128.47121212121212
false	true	true	0	3	24.2	17.916666666666668	25	23.27272727272727	18.428571428571423	19.57142857142857	128.38939393939393
false	true	false	2	0	24.5	17.916666666666668	24.909090909090907	23.727272727272727	15.999999999999998	21.28571428571429	128.3387445887446
false	false	false	1	0	24.65	18.250000000000004	23.09090909090909	24.90909090909091	17.28571428571429	20.142857142857146	128.32857142857142
true	false	true	1	1	24.35	17.666666666666664	23.272727272727273	24.454545454545453	19.571428571428573	19	128.31536796536795
true	false	false	0	3	24.4	18.166666666666668	24.727272727272727	24.727272727272727	17.71428571428571	18.57142857142857	128.30692640692638
false	false	false	2	0	24.499999999999996	19.166666666666668	25	23.18181818181818	14.57142857142857	21.85714285714286	128.2770562770563
true	true	true	1	4	24	20.249999999999996	23.090909090909093	24.363636363636363	18	18.571428571428573	128.27597402597402
true	true	true	0	0	24.65	17.083333333333332	24.727272727272727	24.90909090909091	18.571428571428573	18.28571428571429	128.2268398268398
true	true	true	2	0	24.65	17.416666666666668	24.90909090909091	24.636363636363637	18.571428571428573	18	128.18354978354978
false	false	false	1	3	24.299999999999997	19.916666666666668	23.181818181818183	24.363636363636363	19.571428571428573	16.57142857142857	127.90497835497835
false	true	false	1	3	24.4	17.666666666666668	24.909090909090907	24.545454545454543	17.714285714285715	18.28571428571429	127.52121212121214
true	true	false	0	4	24.7	19.166666666666668	24	22.363636363636363	19.71428571428572	17.42857142857143	127.37316017316016
true	false	false	1	1	23.849999999999998	19.083333333333332	23.636363636363637	24.18181818181818	17.142857142857146	19.42857142857143	127.3229437229437
true	false	false	2	0	24.7	18.333333333333332	25	24.818181818181817	17.285714285714285	17.142857142857142	127.28008658008656
false	false	false	0	0	24.65	17.583333333333332	24.09090909090909	24.90909090909091	20.428571428571427	15.57142857142857	127.23333333333332
true	false	true	2	4	24.25	19.916666666666668	21.90909090909091	23.727272727272727	18.285714285714285	19.14285714285714	127.23160173160174
true	false	true	1	4	24.499999999999996	18.833333333333332	23.000000000000004	24	18.714285714285715	18.14285714285714	127.19047619047618
true	false	false	2	4	24.449999999999996	17.583333333333332	23.81818181818182	24	18.142857142857146	19.142857142857142	127.13722943722942
false	false	false	0	4	24.7	19.166666666666664	21.18181818181818	24.636363636363637	20.28571428571429	17	126.97056277056278
false	true	false	2	3	24.099999999999998	18.583333333333336	24.90909090909091	23.454545454545453	17.428571428571427	18.428571428571427	126.90411255411254
false	false	false	0	3	23.849999999999998	17.166666666666668	25	23.909090909090907	16.57142857142857	20.142857142857142	126.64004329004328
true	true	false	2	3	24.749999999999996	18.916666666666668	24.09090909090909	24.727272727272727	16.285714285714285	17.571428571428573	126.34199134199135
true	false	true	0	3	24.299999999999997	18.666666666666668	25	24.636363636363637	15.857142857142856	17.857142857142858	126.317316017316
false	true	false	1	4	24.15	18.75	22.727272727272727	24.636363636363633	18.571428571428573	17.42857142857143	126.26363636363635
false	false	false	2	4	24.199999999999996	19.083333333333336	24.090909090909093	23	16.714285714285715	19.14285714285714	126.23138528138529
false	true	false	0	4	24.799999999999997	18.416666666666668	22.909090909090907	24.72727272727273	19	16.285714285714285	126.1387445887446
false	true	true	1	0	24.449999999999996	18.999999999999996	24.90909090909091	24.545454545454547	14.428571428571429	18.42857142857143	125.76168831168829
false	true	false	1	1	24.299999999999997	19.999999999999996	23.272727272727273	23.727272727272727	17.428571428571427	17	125.72857142857143
false	false	false	2	1	24.199999999999996	17.75	23.727272727272727	24.36363636363636	17.71428571428571	17.857142857142858	125.61233766233768
false	true	false	1	0	24.65	17.5	24.09090909090909	24.81818181818182	16.857142857142858	17.142857142857142	125.05909090909091
false	true	true	2	3	24.299999999999997	18.583333333333332	25	24.454545454545457	15.571428571428571	17	124.90930735930736
true	false	false	0	0	24.049999999999997	17.083333333333332	23.09090909090909	24.636363636363637	16.428571428571427	19.42857142857143	124.71774891774892
true	true	false	2	1	23.900000000000002	18.916666666666664	23.09090909090909	22.818181818181817	17.714285714285715	18.142857142857142	124.58290043290043
false	false	true	2	0	24.400000000000002	17.833333333333332	23.727272727272723	23.90909090909091	17.42857142857143	17.14285714285714	124.44112554112556
true	true	false	2	0	24	16.583333333333336	24.545454545454547	23.727272727272727	16.42857142857143	18.571428571428573	123.85606060606061
true	false	true	0	4	24.35	17.166666666666668	22.18181818181818	24.636363636363633	17.714285714285715	17.71428571428571	123.7634199134199
true	true	true	1	0	24.7	18.083333333333332	24.09090909090909	24	16.857142857142858	15.999999999999998	123.73138528138529
false	true	false	0	0	24.75	18.083333333333336	24.90909090909091	24.81818181818182	13.285714285714283	17.714285714285715	123.56060606060609
true	true	false	0	0	24.65	16.25	24.72727272727273	24.90909090909091	15.42857142857143	17	122.96493506493508
false	true	true	1	1	24.249999999999996	17.416666666666668	23.363636363636363	23.363636363636367	17.71428571428572	16.71428571428571	122.82251082251082
true	true	true	1	3	23.849999999999998	17.33333333333333	23.636363636363633	23.545454545454543	16.28571428571429	18	122.6508658008658
false	true	true	1	3	24.349999999999998	18	25	21.27272727272727	16.714285714285715	17	122.33701298701298
false	true	true	0	1	23.9	17.833333333333332	21.636363636363637	23.636363636363637	19.285714285714285	15.999999999999996	122.29177489177489
false	true	true	2	0	24.35	18.333333333333332	23.181818181818183	24.72727272727273	17.428571428571427	13.999999999999998	122.02099567099566
true	true	false	1	0	24.849999999999998	17.916666666666668	24.90909090909091	23.090909090909093	13.142857142857142	17.714285714285715	121.62380952380951
false	false	false	1	4	23.749999999999996	16.666666666666668	23.727272727272723	24.363636363636363	17.42857142857143	15.428571428571425	121.3647186147186
false	true	false	0	3	24.4	17.583333333333332	25	23.000000000000004	15.571428571428571	15.285714285714286	120.84047619047618
false	false	true	1	3	23.9	17.916666666666668	23.81818181818182	22.636363636363637	14.857142857142856	16.71428571428571	119.8426406926407
true	true	true	1	1	24.399999999999995	18	23.09090909090909	23.636363636363633	14.85714285714286	15.714285714285714	119.69870129870131
true	false	true	2	3	24.049999999999997	17.750000000000004	24.09090909090909	21.09090909090909	15.428571428571425	16.285714285714285	118.6961038961039
